Categories,Source,Text,probabilities
caps,ALR 2021,"     I AM LIVING IN KAKINADA WHICH IS PLACED IN EAST GODAVARI.OUR CITY IS MODERENED LIKE SMART CITY.FROM KAKINADA WE HAVE BUS FECILITIES TO GO TO ALL OVER VILLEGES.ANY TOURIST WANT TO COME AND FROM THIS CITY AS WISH.RAILWAY COMFORTS ALSO HAVE.BUT KAKINADA TO SAMALKOTA HAS A LOUP LINE.THIS IS VERY DIFFICULTY TO GET MAIN TRAINS.FROM KKD TO SAMALA KOTA HAVE 15 K.M'S DISTENCE.OTHERWISE NO PROBLEM.IN KAKINADA SURROUNDINGS SO MANY BEAUTIFUL PLACES TO VISIT TOURISTS.AIRPORT FECILITY IS NEED TO OUR CITY.IN OUR CITY LODGING AND BOARDING SO MANY FECILITIES FOR TOURISTS.SO EVERY MAN ENJOY TO STEP IN AND THEY MUST ENJOY.I WANT TO GO SOME OTHER PLACES ALSO.FIRST I WANT TO SEE DELHI AND WISIT VISSABLE PLACES.IN INDIA SO MANY PILIGRIMAGE PLACES LIKE KASI,MADHURAI,TIRUPATHI,AGRA AND ETC.LIFE IS VERY SMALL DURATION.IN THIS TIME WE ENJOY WITH FAMILY TRIPS AND OTHER CELEBRATIONS.IN THESE DAYS TOURS AND FRIENDLY VISITS ARE HELP US TO GROW UP HUMAN RELATIONS.SO GOVERNMENT HAS MUST INTEREST TO ENCOURAGE TOURISIM FECILITIES.","[0.49353674054145813, 0.5064632892608643]"
caps,ALR 2022,"DEAR ANDREA, ↵↵THANK YOU FOR TAKING THE TIME IN CONTACTING ME, I TRULY APPRECIATE IT.↵↵THE TIME FRAME IN WHICH YOU CAN FIND ME AT MY HOUSE DURING THE MORNING WILL BE FROM 9AM-11:30AM JUST BEFORE RECESS TIME AT THE SCHOOL.↵↵IN CASE THE DELIVERY DRIVER CANNOT MAKE IT BY THEN, PLEASE GO DOWN THE STAIRS TO APARTMENT 101 AND KNOCK ON THE DOOR, MY GRANMOTHER WILL KINDLY RECEIVE THE PACKAGE FOR ME.↵↵IF FOR ANY REASON YOU HAVE ANY TROUBLE WITH THE DELIVERY, FEEL FREE TO CONTACT ME AT THE TELEPHONE NUMBER 493.400.5068 EXT:70.↵↵THANK YOU, ↵↵LIZZ","[0.4941294193267822, 0.5058705806732178]"
caps,LGBWR,HELLO BELEN IM INIRISTING ENGILISH SPEKING YEST  YES  ONLINE NOV I M INTIRISTING KAFE I M KARERI ENGILISH  MASTER  I M TEACHER  HISTORI SCKOOL NOMBER -3 ENGLISH INTIRSTENG CHLDREN TEST SPEKING INTIRISTING.,"[0.492080956697464, 0.5079189538955688]"
excesive repetition,LGBWR,adiaishdiahsidh  asd  asd  as  d  asdddddddddasd  asdddddddddddddas  asddddddddddd  asddddddddddd  asddddddddddddddd  asdddddddddddd  asddddddddddd  ,"[0.48544320464134216, 0.5145568251609802]"
excesive repetition,LGBWR,dfsdfdfdsfddsf  xcvcxv xcvxcv xc vxc vxc xc vxc v xc v xc v xc v xcvxc v xc v xc v xc v xc v xc v xc v cx v cxv xc v xc v cx v xc v xc v cx v x cv cx v xc v x c vx cv xc  xc vxc  vxc v cx v xc v xc v xc v vxc v cx v xc v xc v xc v cx vxc xc s cx vxc xc s  vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s vxc v cx v xc v xc v xc v cx vxc xc s,"[0.48392778635025024, 0.5160722732543945]"
excesive repetition,LGBWR,   kotaala ma kota  pala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala maala ma    Anna,"[0.48340150713920593, 0.5165984034538269]"
excesive repetition,LGBWR,A kot ma ale ale nie mogil tego przewidziecA kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot A kot ,"[0.4851619601249695, 0.5148380994796753]"
excesive repetition,LGBWR,trhh th trh rth rth rth rth rth rth rh rh ,"[0.4772978127002716, 0.522702157497406]"
excesive repetition,LGBWR,A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussinessA bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussinessA bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussinessA bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness A bussiness.,"[0.4897465705871582, 0.5102534294128418]"
excesive repetition,LGBWR, asdfafas. asd. asdf. as. as  as a asf  as a aasdf.  asf a asfas asf asf asf asfa a fasfd. as dfa sfa sfas f asdf asdf as dfa sf asf as dfa sf asf asdf a dsfa sdf a sdf asdf asd fa sdfas dfa sfa sf asd fa sdfa sdfa sfdas df asfasdf fdas df asd fasdfas dfa sdf asf as fda sdf as dfa sdf asd fa sdf asdf asdf asd fasfd a sdf asd f asdf asd fa sdfa sdf asd fas dfa sdfadsf a dsf asdf af a sd fsda a. asdh h jh jh h g hghg g jhg jhg hg hgh gh. ghg hjg hg jhg g hg jh gjhg j gh jhg hg hjg h gh ghj ghj gjhg h gjhgj g gj gjh gjhg hj jg jgj gjghgjh ghg hg hg gjg hgjhg hg g hghghg hg hg hgh gh gg h hg h h g gg hg j gjhg jg h gh ghg. gh gj hg hgh g hgh gh ghj gh gj gh gjhg h gj gj g g h,"[0.4873134195804596, 0.5126866102218628]"
